note_id,claim_id,mode,claim,citation_ids,label,reason
1,N01-C01,before,The reports page now supports CSV export for the currently applied filters.,,unsupported,No citation attached to claim.
1,N01-C02,before,Exported files are encoded in UTF-8 and include the column headers displayed by the report.,,unsupported,No citation attached to claim.
1,N01-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
16,N16-C01,after,"The reports page now supports CSV export for the currently applied filters, including only the filtered rows shown in the report [DOC-01].",DOC-01,supported,DOC-01: The source states that the reports page supports CSV export for the currently applied filters and that the exported files contain the filtered rows shown in the report.
16,N16-C02,after,The CSV export uses UTF-8 encoding and includes the column headers displayed by the report [DOC-21].,DOC-21,supported,DOC-21: The source explicitly states that the CSV export uses UTF-8 encoding and includes the column headers displayed by the report.
16,N16-C03,after,"Reports support filtering by a start date and end date, with the selected date range applied before results are displayed [DOC-13].",DOC-13,supported,"DOC-13: The source directly states that reports support filtering by a start date and end date, and that the selected date range is applied before results are displayed."
2,N02-C01,before,The Activity API now accepts 'page' and 'page_size' parameters for pagination.,,unsupported,No citation attached to claim.
2,N02-C02,before,"A default 'page_size' of 50 is set, with a maximum limit of 200.",,unsupported,No citation attached to claim.
2,N02-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
17,N17-C01,after,"The activity API now accepts page and page_size parameters, with a default page_size of 50 and a maximum of 200 [DOC-02].",DOC-02,supported,"DOC-02: The source confirms that the activity API accepts page and page_size parameters, and specifies the default and maximum page_size values."
17,N17-C02,after,The activity API returns a next_page value when more records are available after the current page [DOC-22].,DOC-22,supported,"DOC-22: The source explicitly states that the activity API returns a next_page value when more records are available, which directly supports the claim."
17,N17-C03,after,Reports can now filter results by a specified start date and end date [DOC-13].,DOC-13,supported,"DOC-13: The source states that reports support filtering by a start date and end date, which aligns with the claim."
3,N03-C01,before,Session timeout values can now be configured from 15 to 120 minutes in the security settings.,,unsupported,No citation attached to claim.
3,N03-C02,before,Changes to session timeout settings will apply to all new sessions after saving the configuration.,,unsupported,No citation attached to claim.
3,N03-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
18,N18-C01,after,Administrators can configure session timeout values from 15 to 120 minutes in the security settings. [DOC-03],DOC-03,supported,"DOC-03: The source states that administrators can configure session timeout values from 15 to 120 minutes in the security settings, which directly matches the claim."
18,N18-C02,after,Session timeout changes apply to new sessions after the administrator saves the security setting. [DOC-23],DOC-23,supported,DOC-23: The source explicitly states that session timeout changes apply to new sessions after the administrator saves the security setting.
18,N18-C03,after,The reports page now supports CSV export for the currently applied filters. [DOC-01],DOC-01,supported,"DOC-01: The source states that the reports page supports CSV export for the currently applied filters, which matches the claim."
4,N04-C01,before,Mobile users can now download selected project content for offline viewing.,,unsupported,No citation attached to claim.
4,N04-C02,before,Offline project content is read-only until the device reconnects and synchronization is completed.,,unsupported,No citation attached to claim.
4,N04-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
19,N19-C01,after,Mobile users can download selected project content for offline viewing [DOC-04].,DOC-04,supported,DOC-04: The source states that mobile users can download selected project content for offline viewing.
19,N19-C02,after,Offline project content is read-only until the device reconnects and synchronization is completed [DOC-24].,DOC-24,supported,"DOC-24: The source states that offline project content is read-only until the device reconnects and synchronization is completed, which directly matches the claim."
19,N19-C03,after,Changes made offline are synchronized after the device reconnects [DOC-04].,DOC-04,supported,DOC-04: The source explicitly states that changes made offline are synchronized after the device reconnects.
5,N05-C01,before,Search now supports exact phrase matching when a query is enclosed in quotation marks.,,unsupported,No citation attached to claim.
5,N05-C02,before,Improved search accuracy for queries with multiple words.,,unsupported,No citation attached to claim.
5,N05-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
20,N20-C01,after,Search now supports exact phrase matching when a query is enclosed in quotation marks [DOC-05].,DOC-05,supported,"DOC-05: The source states that Search now supports exact phrase matching when a query is enclosed in quotation marks, which directly aligns with the claim."
20,N20-C02,after,"Administrators can view user activity in the Audit page, including the actor, action, and timestamp [DOC-11].",DOC-11,supported,"DOC-11: The source states that administrators can view user activity in the Audit page, which directly matches the claim."
20,N20-C03,after,"Keyboard shortcuts are available for opening search, saving edits, and moving between common navigation areas [DOC-14].",DOC-14,supported,"DOC-14: The source states that keyboard shortcuts are available for the specified functions, which directly supports the claim."
6,N06-C01,before,Billing users can now download their monthly invoices as PDF files.,,unsupported,No citation attached to claim.
6,N06-C02,before,The download option is accessible from the billing history page for improved user experience.,,unsupported,No citation attached to claim.
6,N06-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
21,N21-C01,after,Billing users can now download monthly invoices as PDF files from the billing history page [DOC-06].,DOC-06,supported,"DOC-06: The source states that billing users can download monthly invoices as PDF files from the billing history page, which aligns with the claim."
21,N21-C02,after,The feature enhances user experience by providing easy access to billing documents [DOC-06].,DOC-06,unsupported,"DOC-06: The source states that users can download invoices, but it does not provide evidence that this feature enhances user experience."
21,N21-C03,after,Users can retrieve their invoices for better financial tracking and record-keeping [DOC-06].,DOC-06,supported,"DOC-06: The source states that users can download monthly invoices, which supports the claim about retrieving invoices for financial tracking and record-keeping."
7,N07-C01,before,Users can now configure their email notification preferences directly from the Notification Preferences page.,,unsupported,No citation attached to claim.
7,N07-C02,before,"The notification center has been updated to group related notifications, minimizing clutter in your inbox.",,unsupported,No citation attached to claim.
7,N07-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
22,N22-C01,after,Users can configure which email notification categories they receive from Notification Preferences [DOC-07].,DOC-07,supported,"DOC-07: The source states that users can configure email notification categories from Notification Preferences, which directly supports the claim."
22,N22-C02,after,The notification center groups related notifications together to reduce repeated entries in the feed [DOC-20].,DOC-20,supported,"DOC-20: The source states that the notification center groups related notifications together to reduce repeated entries, which directly supports the claim."
22,N22-C03,after,"Administrators can view user activity in the Audit page, including the actor, action, and timestamp [DOC-11].",DOC-11,supported,"DOC-11: The source states that administrators can view user activity in the Audit page, which directly supports the claim."
8,N08-C01,before,The editor now automatically restores unsaved drafts if a recoverable draft exists after a browser refresh.,,unsupported,No citation attached to claim.
8,N08-C02,before,"Users will receive a notification indicating that a draft has been restored, ensuring clarity on their document status.",,unsupported,No citation attached to claim.
8,N08-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
23,N23-C01,after,The editor automatically restores an unsaved draft after an unexpected browser refresh when a recoverable draft exists [DOC-08].,DOC-08,supported,DOC-08: The source explicitly states that the editor restores an unsaved draft after an unexpected browser refresh when a recoverable draft exists.
23,N23-C02,after,Users can now seamlessly continue their work without losing progress due to browser issues [DOC-08].,DOC-08,supported,"DOC-08: The source states that an unsaved draft is automatically restored after a browser refresh, which implies users can continue their work without losing progress."
23,N23-C03,after,The restoration feature enhances user experience by minimizing data loss during unexpected interruptions [DOC-08].,DOC-08,supported,"DOC-08: The source states that the editor restores an unsaved draft after an unexpected browser refresh, which directly supports the claim about minimizing data loss and enhancing user experience."
9,N09-C01,before,Added a GET /health endpoint that returns HTTP 200 when the service is available.,,unsupported,No citation attached to claim.
9,N09-C02,before,The health endpoint is designed for service monitoring and ensures uptime visibility.,,unsupported,No citation attached to claim.
9,N09-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
24,N24-C01,after,"A GET /health endpoint returns HTTP 200 when the service is available, intended for service monitoring [DOC-09].",DOC-09,supported,"DOC-09: The source states that a GET /health endpoint returns HTTP 200 when the service is available and is intended for service monitoring, which directly supports the claim."
24,N24-C02,after,The reports page now supports CSV export for the currently applied filters [DOC-01].,DOC-01,supported,"DOC-01: The source states that the reports page supports CSV export for the currently applied filters, which directly matches the claim."
24,N24-C03,after,"The activity API now accepts page and page_size parameters, with a default page_size of 50 [DOC-02].",DOC-02,supported,DOC-02: The source confirms that the activity API accepts page and page_size parameters and specifies the default page_size as 50.
10,N10-C01,before,Users can now archive projects directly from the project actions menu.,,unsupported,No citation attached to claim.
10,N10-C02,before,"Archived projects will no longer appear in the active-project list, making it easier to manage ongoing tasks.",,unsupported,No citation attached to claim.
10,N10-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
25,N25-C01,after,Users can now archive projects directly from the project actions menu [DOC-10].,DOC-10,supported,"DOC-10: The source states that projects can be archived from the project actions menu, which directly supports the claim."
25,N25-C02,after,"Archived projects will no longer appear in the active-project list, streamlining project visibility [DOC-10].",DOC-10,supported,"DOC-10: The source states that archived projects are removed from the active-project list, which supports the claim that they will no longer appear in that list."
25,N25-C03,after,This feature allows for better organization and management of ongoing and completed projects [DOC-10].,DOC-10,unsupported,DOC-10: The source describes the archiving process but does not provide evidence that it improves organization and management.
11,N11-C01,before,Introduced a new Audit page for viewing user activity.,,unsupported,No citation attached to claim.
11,N11-C02,before,"Displayed detailed information including actor, action, and timestamp for each user activity.",,unsupported,No citation attached to claim.
11,N11-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
26,N26-C01,after,"Administrators can view user activity in the Audit page, including the actor, action, and timestamp. [DOC-11]",DOC-11,supported,"DOC-11: The source explicitly states that administrators can view user activity in the Audit page, including the actor, action, and timestamp, which matches the claim."
26,N26-C02,after,The activity API returns a next_page value when more records are available after the current page. [DOC-22],DOC-22,supported,"DOC-22: The source explicitly states that the activity API returns a next_page value when more records are available after the current page, which matches the claim."
26,N26-C03,after,No changes were made to mobile user functionalities in this release. [DOC-04],DOC-04,unsupported,DOC-04: The source discusses offline viewing and synchronization but does not address whether any changes were made to mobile user functionalities.
12,N12-C01,before,Introduced a multi-file upload helper that allows uploading multiple files in a single operation.,,unsupported,No citation attached to claim.
12,N12-C02,before,Updated the SDK documentation to include examples and usage guidelines for the new multi-file upload feature.,,unsupported,No citation attached to claim.
12,N12-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
27,N27-C01,after,The SDK now includes a multi-file upload helper that accepts a list of file paths and uploads them as one operation. [DOC-12],DOC-12,supported,DOC-12: The source explicitly states that the SDK includes a multi-file upload helper that accepts a list of file paths and uploads them as one operation.
27,N27-C02,after,The reports page now supports CSV export for the currently applied filters. Exported files contain the filtered rows shown in the report. [DOC-01],DOC-01,supported,DOC-01: The source explicitly states that the reports page supports CSV export for the currently applied filters and describes the content of the exported files.
27,N27-C03,after,The activity API now accepts page and page_size parameters. The default page_size is 50 and the maximum page_size is 200. [DOC-02],DOC-02,supported,"DOC-02: The source explicitly states that the activity API accepts page and page_size parameters, and it provides the default and maximum page_size values."
13,N13-C01,before,"Users can now filter reports by selecting a start date and an end date, enhancing the precision of data displayed.",,unsupported,No citation attached to claim.
13,N13-C02,before,"The reports page now supports CSV export, enabling users to download the filtered results for offline analysis.",,unsupported,No citation attached to claim.
13,N13-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
28,N28-C01,after,"Reports now support filtering by a start date and end date, which is applied before results are displayed [DOC-13].",DOC-13,supported,"DOC-13: The source states that reports support filtering by a start date and end date, which aligns with the claim."
28,N28-C02,after,"The reports page has been updated to allow CSV export for the currently applied filters, including the filtered rows shown in the report [DOC-01].",DOC-01,supported,"DOC-01: The source states that the reports page now supports CSV export for the currently applied filters, which aligns with the claim."
28,N28-C03,after,Users can now utilize the date-range filters to refine their report results more effectively [DOC-13].,DOC-13,supported,"DOC-13: The source states that reports support filtering by a start date and end date, which aligns with the claim about users utilizing date-range filters."
14,N14-C01,before,Added keyboard shortcuts for opening search functionality.,,unsupported,No citation attached to claim.
14,N14-C02,before,Implemented shortcuts for saving edits quickly.,,unsupported,No citation attached to claim.
14,N14-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
29,N29-C01,after,"Keyboard shortcuts are now available for opening search, saving edits, and moving between common navigation areas [DOC-14].",DOC-14,supported,"DOC-14: The source states that keyboard shortcuts are available for the specified actions, which aligns with the claim."
29,N29-C02,after,Users can utilize these shortcuts to streamline their workflow and improve efficiency [DOC-14].,DOC-14,supported,"DOC-14: The source states that keyboard shortcuts are available for various tasks, implying that they can help users streamline their workflow."
29,N29-C03,after,The implementation of these shortcuts aims to provide a more intuitive user experience [DOC-14].,DOC-14,unsupported,DOC-14: The source describes the availability of keyboard shortcuts but does not provide evidence that their implementation aims to enhance user experience.
15,N15-C01,before,The team page now displays a short role description for each member when a role description has been configured.,,unsupported,No citation attached to claim.
15,N15-C02,before,The reports page now supports CSV export for the currently applied filters.,,unsupported,No citation attached to claim.
15,N15-C03,before,The release also adds a premium analytics dashboard with real-time charts and automatic weekly reports.,,unsupported,No citation attached to claim.
30,N30-C01,after,The team page now displays a short role description for each member when a role description has been configured. [DOC-15],DOC-15,supported,"DOC-15: The source states that the team page displays a short role description for each member when configured, which matches the claim."
30,N30-C02,after,The reports page now supports CSV export for the currently applied filters. [DOC-01],DOC-01,supported,"DOC-01: The source states that the reports page supports CSV export for the currently applied filters, which matches the claim."
30,N30-C03,after,The activity API now accepts page and page_size parameters. [DOC-02],DOC-02,supported,"DOC-02: The source states that the activity API now accepts page and page_size parameters, which directly supports the claim."
